year,week,location,time,demand
2020,22,0,0,12
2020,22,1,0,2
2020,22,2,0,0
2020,22,3,0,1
2020,22,4,0,0
2020,22,5,0,0
2020,22,6,0,1
2020,22,7,0,1
2020,22,8,0,1
2020,22,9,0,0
2020,22,10,0,0
2020,22,11,0,0
2020,22,12,0,0
2020,22,13,0,4
2020,22,14,0,0
2020,23,0,1,119
2020,23,1,1,30
2020,23,2,1,3
2020,23,3,1,31
2020,23,4,1,24
2020,23,5,1,14
2020,23,6,1,15
2020,23,7,1,7
2020,23,8,1,9
2020,23,9,1,5
2020,23,10,1,38
2020,23,11,1,4
2020,23,12,1,3
2020,23,13,1,10
2020,23,14,1,3
2020,24,0,2,117
2020,24,1,2,34
2020,24,2,2,1
2020,24,3,2,33
2020,24,4,2,15
2020,24,5,2,12
2020,24,6,2,19
2020,24,7,2,7
2020,24,8,2,6
2020,24,9,2,5
2020,24,10,2,31
2020,24,11,2,6
2020,24,12,2,7
2020,24,13,2,23
2020,24,14,2,1
2020,25,0,3,93
2020,25,1,3,37
2020,25,2,3,6
2020,25,3,3,20
2020,25,4,3,15
2020,25,5,3,16
2020,25,6,3,16
2020,25,7,3,5
2020,25,8,3,11
2020,25,9,3,15
2020,25,10,3,48
2020,25,11,3,4
2020,25,12,3,12
2020,25,13,3,35
2020,25,14,3,4
2020,26,0,4,116
2020,26,1,4,60
2020,26,2,4,3
2020,26,3,4,19
2020,26,4,4,28
2020,26,5,4,15
2020,26,6,4,16
2020,26,7,4,4
2020,26,8,4,14
2020,26,9,4,16
2020,26,10,4,39
2020,26,11,4,7
2020,26,12,4,16
2020,26,13,4,25
2020,26,14,4,14
2020,27,0,5,95
2020,27,1,5,66
2020,27,2,5,5
2020,27,3,5,21
2020,27,4,5,22
2020,27,5,5,17
2020,27,6,5,27
2020,27,7,5,2
2020,27,8,5,18
2020,27,9,5,20
2020,27,10,5,46
2020,27,11,5,12
2020,27,12,5,7
2020,27,13,5,18
2020,27,14,5,9
2020,28,0,6,119
2020,28,1,6,54
2020,28,2,6,3
2020,28,3,6,22
2020,28,4,6,39
2020,28,5,6,24
2020,28,6,6,29
2020,28,7,6,3
2020,28,8,6,13
2020,28,9,6,25
2020,28,10,6,42
2020,28,11,6,10
2020,28,12,6,6
2020,28,13,6,26
2020,28,14,6,9
2020,29,0,7,118
2020,29,1,7,53
2020,29,2,7,4
2020,29,3,7,16
2020,29,4,7,27
2020,29,5,7,20
2020,29,6,7,41
2020,29,7,7,2
2020,29,8,7,10
2020,29,9,7,17
2020,29,10,7,91
2020,29,11,7,3
2020,29,12,7,12
2020,29,13,7,18
2020,29,14,7,7
2020,30,0,8,102
2020,30,1,8,57
2020,30,2,8,3
2020,30,3,8,13
2020,30,4,8,32
2020,30,5,8,30
2020,30,6,8,35
2020,30,7,8,2
2020,30,8,8,19
2020,30,9,8,15
2020,30,10,8,58
2020,30,11,8,12
2020,30,12,8,10
2020,30,13,8,28
2020,30,14,8,11
2020,31,0,9,124
2020,31,1,9,53
2020,31,2,9,9
2020,31,3,9,18
2020,31,4,9,50
2020,31,5,9,52
2020,31,6,9,32
2020,31,7,9,3
2020,31,8,9,15
2020,31,9,9,20
2020,31,10,9,54
2020,31,11,9,4
2020,31,12,9,14
2020,31,13,9,24
2020,31,14,9,9
2020,32,0,10,135
2020,32,1,10,51
2020,32,2,10,9
2020,32,3,10,11
2020,32,4,10,77
2020,32,5,10,46
2020,32,6,10,37
2020,32,7,10,3
2020,32,8,10,9
2020,32,9,10,24
2020,32,10,10,55
2020,32,11,10,4
2020,32,12,10,7
2020,32,13,10,26
2020,32,14,10,12
2020,33,0,11,90
2020,33,1,11,40
2020,33,2,11,8
2020,33,3,11,8
2020,33,4,11,42
2020,33,5,11,38
2020,33,6,11,25
2020,33,7,11,2
2020,33,8,11,16
2020,33,9,11,25
2020,33,10,11,44
2020,33,11,11,1
2020,33,12,11,6
2020,33,13,11,16
2020,33,14,11,4
2020,34,0,12,118
2020,34,1,12,54
2020,34,2,12,11
2020,34,3,12,11
2020,34,4,12,48
2020,34,5,12,39
2020,34,6,12,24
2020,34,7,12,3
2020,34,8,12,6
2020,34,9,12,24
2020,34,10,12,79
2020,34,11,12,8
2020,34,12,12,3
2020,34,13,12,14
2020,34,14,12,8
2020,35,0,13,106
2020,35,1,13,45
2020,35,2,13,3
2020,35,3,13,14
2020,35,4,13,27
2020,35,5,13,23
2020,35,6,13,33
2020,35,7,13,2
2020,35,8,13,13
2020,35,9,13,12
2020,35,10,13,49
2020,35,11,13,7
2020,35,12,13,8
2020,35,13,13,11
2020,35,14,13,15
2020,36,0,14,134
2020,36,1,14,56
2020,36,2,14,5
2020,36,3,14,15
2020,36,4,14,28
2020,36,5,14,59
2020,36,6,14,33
2020,36,7,14,2
2020,36,8,14,27
2020,36,9,14,28
2020,36,10,14,69
2020,36,11,14,9
2020,36,12,14,16
2020,36,13,14,12
2020,36,14,14,11
2020,37,0,15,119
2020,37,1,15,63
2020,37,2,15,8
2020,37,3,15,19
2020,37,4,15,27
2020,37,5,15,44
2020,37,6,15,33
2020,37,7,15,2
2020,37,8,15,21
2020,37,9,15,22
2020,37,10,15,64
2020,37,11,15,11
2020,37,12,15,12
2020,37,13,15,22
2020,37,14,15,12
2020,38,0,16,131
2020,38,1,16,69
2020,38,2,16,7
2020,38,3,16,16
2020,38,4,16,49
2020,38,5,16,73
2020,38,6,16,26
2020,38,7,16,4
2020,38,8,16,20
2020,38,9,16,27
2020,38,10,16,101
2020,38,11,16,6
2020,38,12,16,10
2020,38,13,16,21
2020,38,14,16,26
2020,39,0,17,122
2020,39,1,17,56
2020,39,2,17,8
2020,39,3,17,13
2020,39,4,17,26
2020,39,5,17,39
2020,39,6,17,32
2020,39,7,17,2
2020,39,8,17,22
2020,39,9,17,21
