Order Date,Postal Code,Region,State,Profit,Profit Ratio,Sales
4/1/2011,77095,Central,Texas,6,0.338,16
5/1/2011,60540,Central,Illinois,-5,-1.55,4
5/1/2011,60540,Central,Illinois,4,0.363,12
5/1/2011,60540,Central,Illinois,-65,-0.238,273
6/1/2011,19143,East,Pennsylvania,5,0.25,20
7/1/2011,30605,South,Georgia,5,0.41,13
7/1/2011,90049,West,California,9,0.48,19
7/1/2011,42420,South,Kentucky,746,0.29,2574
7/1/2011,42420,South,Kentucky,1,0.27,5
7/1/2011,42420,South,Kentucky,274,0.45,610
7/1/2011,42420,South,Kentucky,0,0.01,31
7/1/2011,42420,South,Kentucky,3,0.46,7
7/1/2011,42420,South,Kentucky,114,0.29,392
7/1/2011,42420,South,Kentucky,204,0.27,756
8/1/2011,77340,Central,Texas,-54,-0.7,77
8/1/2011,77340,Central,Texas,-18,-1.75,10
10/1/2011,78041,Central,Texas,1,0.125,9
10/1/2011,78041,Central,Texas,10,0.313,31
11/1/2011,22153,South,Virginia,21,0.41,52
11/1/2011,22153,South,Virginia,1,0.47,3
12/1/2011,19901,East,Delaware,3,0.31,10
14/1/2011,71111,South,Louisiana,3,0.48,6
14/1/2011,71111,South,Louisiana,25,0.5,51
14/1/2011,71111,South,Louisiana,5,0.47,11
14/1/2011,71111,South,Louisiana,34,0.06,573
14/1/2011,71111,South,Louisiana,259,0.4,647
14/1/2011,29464,South,South Carolina,87,0.16,546
14/1/2011,94109,West,California,4,0.012,334
14/1/2011,43055,East,Ohio,-3,-0.733,3
14/1/2011,43055,East,Ohio,13,0.35,37
14/1/2011,94109,West,California,7,0.33,20
14/1/2011,94109,West,California,239,0.18,1326
15/1/2011,19140,East,Pennsylvania,-53,-0.86,62
16/1/2011,30076,South,Georgia,66,0.44,150
17/1/2011,19134,East,Pennsylvania,29,0.225,127
17/1/2011,19134,East,Pennsylvania,-14,-0.733,19
17/1/2011,19134,East,Pennsylvania,10,0.338,30
17/1/2011,19134,East,Pennsylvania,-31,-0.25,124
19/1/2011,97477,West,Oregon,6,0.1,65
20/1/2011,85254,West,Arizona,-321,-1.767,181
20/1/2011,85254,West,Arizona,-24,-0.733,32
20/1/2011,85254,West,Arizona,37,0.338,109
20/1/2011,85254,West,Arizona,20,0.35,56
21/1/2011,90049,West,California,6,0.3,19
21/1/2011,90049,West,California,9,0.48,19
21/1/2011,48185,Central,Michigan,30,0.11,273
21/1/2011,48185,Central,Michigan,5,0.33,15
21/1/2011,72401,South,Arkansas,224,0.21,1068
21/1/2011,72401,South,Arkansas,12,0.3,39
21/1/2011,48185,Central,Michigan,94,0.378,248
21/1/2011,48185,Central,Michigan,13,0.29,44
21/1/2011,48185,Central,Michigan,9,0.47,19
21/1/2011,48185,Central,Michigan,13,0.45,30
21/1/2011,48185,Central,Michigan,4,0.29,14
21/1/2011,48185,Central,Michigan,16,0.24,67
21/1/2011,72401,South,Arkansas,2,0.27,7
21/1/2011,72401,South,Arkansas,7,0.29,23
21/1/2011,72401,South,Arkansas,11,0.47,23
21/1/2011,37167,South,Tennessee,-52,-0.767,67
21/1/2011,72401,South,Arkansas,182,0.26,700
22/1/2011,33180,South,Florida,4,0.163,25
24/1/2011,47905,Central,Indiana,0,0,6
24/1/2011,89115,West,Nevada,19,0.48,40
27/1/2011,57701,Central,South Dakota,40,0.28,142
27/1/2011,57701,Central,South Dakota,5,0.47,11
27/1/2011,22304,South,Virginia,4,0.36,12
27/1/2011,22304,South,Virginia,31,0.49,63
27/1/2011,22304,South,Virginia,9,0.48,19
27/1/2011,22304,South,Virginia,8,0.5,17
27/1/2011,22304,South,Virginia,0,0,490
27/1/2011,22304,South,Virginia,53,0.28,188
27/1/2011,22304,South,Virginia,0,0,155
28/1/2011,92037,West,California,-17,-0.05,333
28/1/2011,92037,West,California,12,0.33,36
28/1/2011,92037,West,California,14,0.25,57
29/1/2011,10024,East,New York,1,0.338,4
31/1/2011,48234,Central,Michigan,5,0.45,11
31/1/2011,48234,Central,Michigan,7,0.03,230
1/2/2011,92691,West,California,3,0.012,291
2/2/2011,54302,Central,Wisconsin,206,0.44,469
3/2/2011,92037,West,California,6,0.47,12
3/2/2011,33710,South,Florida,-12,-0.667,18
3/2/2011,33710,South,Florida,14,0.075,181
4/2/2011,98105,West,Washington,4,0.325,13
4/2/2011,98105,West,Washington,27,0.325,84
5/2/2011,92025,West,California,6,0.35,17
5/2/2011,92024,West,California,29,0.35,83
5/2/2011,92024,West,California,16,0.47,34
7/2/2011,23320,South,Virginia,7,0.48,15
7/2/2011,23320,South,Virginia,42,0.26,162
7/2/2011,23320,South,Virginia,42,0.29,145
7/2/2011,60441,Central,Illinois,-15,-1.65,9
8/2/2011,10024,East,New York,10,0.15,65
8/2/2011,7036,East,New Jersey,50,0.43,115
9/2/2011,89031,West,Nevada,6,0.38,15
12/2/2011,65203,Central,Missouri,15,0.25,61
12/2/2011,65203,Central,Missouri,53,0.16,333
12/2/2011,23320,South,Virginia,75,0.06,1256
12/2/2011,65203,Central,Missouri,24,0.47,52
12/2/2011,65203,Central,Missouri,4,0.46,10
12/2/2011,65203,Central,Missouri,7,0.46,15
12/2/2011,65203,Central,Missouri,3,0.04,65
12/2/2011,23320,South,Virginia,8,0.47,17
12/2/2011,23320,South,Virginia,103,0.44,234
13/2/2011,94521,West,California,-24,-0.188,130
15/2/2011,98103,West,Washington,23,0.28,82
15/2/2011,98103,West,Washington,5,0.02,239
15/2/2011,98103,West,Washington,86,0.36,240
15/2/2011,77095,Central,Texas,6,0.375,16
16/2/2011,98105,West,Washington,7,0.338,21
17/2/2011,75220,Central,Texas,-14,-1.75,8
17/2/2011,75220,Central,Texas,-2,-1.6,1
18/2/2011,60653,Central,Illinois,9,0.163,54
19/2/2011,79424,Central,Texas,-11,-0.45,25
19/2/2011,76017,Central,Texas,-3,-0.2,13
21/2/2011,90049,West,California,6,0.48,13
21/2/2011,47374,Central,Indiana,7,0.34,20
21/2/2011,47374,Central,Indiana,22,0.36,62
22/2/2011,60098,Central,Illinois,-14,-1.55,9
23/2/2011,92553,West,California,9,0.48,19
24/2/2011,79907,Central,Texas,-7,-1.55,4
24/2/2011,79907,Central,Texas,2,0.338,7
25/2/2011,97504,West,Oregon,11,0.338,33
25/2/2011,97504,West,Oregon,8,0.338,23
28/2/2011,43229,East,Ohio,3,0.175,19
1/3/2011,79907,Central,Texas,0,0,362
1/3/2011,79907,Central,Texas,-35,-0.55,64
1/3/2011,60126,Central,Illinois,-172,-0.271,634
1/3/2011,79907,Central,Texas,-4,-0.188,19
1/3/2011,79907,Central,Texas,-23,-0.175,130
1/3/2011,60126,Central,Illinois,6,0.325,17
1/3/2011,10035,East,New York,2,0.27,6
1/3/2011,98115,West,Washington,51,0.113,458
1/3/2011,77036,Central,Texas,-43,-0.114,377
1/3/2011,77036,Central,Texas,9,0.062,137
2/3/2011,19120,East,Pennsylvania,1,0.313,3
2/3/2011,19120,East,Pennsylvania,32,0.213,151
2/3/2011,10009,East,New York,5,0.47,11
2/3/2011,10009,East,New York,17,0.48,36
3/3/2011,92037,West,California,-23,-0.038,626
3/3/2011,77095,Central,Texas,-460,-2.6,177
3/3/2011,28403,South,North Carolina,3,0.175,19
3/3/2011,43229,East,Ohio,-200,-0.66,302
3/3/2011,43229,East,Ohio,5,0.325,15
3/3/2011,43229,East,Ohio,-10,-0.225,45
3/3/2011,10035,East,New York,9,0.363,25
3/3/2011,10035,East,New York,41,0.325,126
3/3/2011,10035,East,New York,5,0.46,10
4/3/2011,29203,South,South Carolina,18,0.05,355
4/3/2011,33063,South,Florida,2,0.15,16
5/3/2011,10701,East,New York,15,0.26,60
5/3/2011,10701,East,New York,17,0.338,50
5/3/2011,10701,East,New York,46,0.47,98
5/3/2011,10701,East,New York,5,0.29,19
5/3/2011,10701,East,New York,178,0.37,480
7/3/2011,98103,West,Washington,5,0.113,49
7/3/2011,98103,West,Washington,5,0.26,18
7/3/2011,98103,West,Washington,5,0.02,243
7/3/2011,98198,West,Washington,34,0.313,108
7/3/2011,98103,West,Washington,54,0.113,482
7/3/2011,98103,West,Washington,22,0.05,437
7/3/2011,98103,West,Washington,9,0.46,21
7/3/2011,98103,West,Washington,0,0,205
10/3/2011,48073,Central,Michigan,11,0.48,22
10/3/2011,80219,West,Colorado,9,0.113,83
10/3/2011,80219,West,Colorado,-16,-0.025,636
11/3/2011,40475,South,Kentucky,38,0.26,147
11/3/2011,40475,South,Kentucky,7,0.47,15
11/3/2011,40475,South,Kentucky,14,0.43,33
11/3/2011,40475,South,Kentucky,165,0.28,588
11/3/2011,10024,East,New York,49,0.45,109
11/3/2011,95661,West,California,2,0.26,8
11/3/2011,43229,East,Ohio,2,0.275,8
11/3/2011,43229,East,Ohio,2,0.163,10
14/3/2011,60653,Central,Illinois,3,0.313,8
14/3/2011,60653,Central,Illinois,156,0.271,575
14/3/2011,92646,West,California,1,0.37,3
14/3/2011,92646,West,California,5,0.45,11
14/3/2011,32216,South,Florida,32,0.35,91
14/3/2011,23320,South,Virginia,285,0.25,1140
14/3/2011,84321,West,Utah,11,0.338,33
14/3/2011,84321,West,Utah,20,0.325,62
