Category,Order Date,Region,Profit,Quantity,Sales
Office Supplies,4/1/2011,Central,6,2,16
Office Supplies,5/1/2011,Central,-5,2,4
Office Supplies,5/1/2011,Central,4,3,12
Office Supplies,5/1/2011,Central,-65,3,273
Office Supplies,6/1/2011,East,5,3,20
Office Supplies,7/1/2011,South,5,3,13
Office Supplies,7/1/2011,West,9,3,19
Furniture,7/1/2011,South,746,9,2574
Office Supplies,7/1/2011,South,1,2,5
Office Supplies,7/1/2011,South,274,2,610
Office Supplies,7/1/2011,South,0,4,31
Office Supplies,7/1/2011,South,3,1,7
Technology,7/1/2011,South,114,2,392
Technology,7/1/2011,South,204,4,756
Furniture,8/1/2011,Central,-54,3,77
Office Supplies,8/1/2011,Central,-18,7,10
Office Supplies,10/1/2011,Central,1,2,9
Technology,10/1/2011,Central,10,3,31
Furniture,11/1/2011,South,21,1,52
Office Supplies,11/1/2011,South,1,1,3
Furniture,12/1/2011,East,3,2,10
Office Supplies,14/1/2011,South,3,3,6
Office Supplies,14/1/2011,South,25,3,51
Office Supplies,14/1/2011,South,5,2,11
Office Supplies,14/1/2011,South,34,6,573
Technology,14/1/2011,South,259,6,647
Furniture,14/1/2011,South,87,6,546
Furniture,14/1/2011,West,4,3,334
Office Supplies,14/1/2011,East,-3,2,3
Office Supplies,14/1/2011,East,13,7,37
Office Supplies,14/1/2011,West,7,5,20
Office Supplies,14/1/2011,West,239,5,1326
Furniture,15/1/2011,East,-53,4,62
Technology,16/1/2011,South,66,5,150
Furniture,17/1/2011,East,29,6,127
Office Supplies,17/1/2011,East,-14,2,19
Office Supplies,17/1/2011,East,10,3,30
Technology,17/1/2011,East,-31,3,124
Office Supplies,19/1/2011,West,6,4,65
Furniture,20/1/2011,West,-321,5,181
Office Supplies,20/1/2011,West,-24,10,32
Office Supplies,20/1/2011,West,37,5,109
Office Supplies,20/1/2011,West,20,4,56
Furniture,21/1/2011,West,6,2,19
Office Supplies,21/1/2011,West,9,2,19
Furniture,21/1/2011,Central,30,3,273
Furniture,21/1/2011,Central,5,3,15
Furniture,21/1/2011,South,224,3,1068
Furniture,21/1/2011,South,12,4,39
Office Supplies,21/1/2011,Central,94,4,248
Office Supplies,21/1/2011,Central,13,3,44
Office Supplies,21/1/2011,Central,9,5,19
Office Supplies,21/1/2011,Central,13,5,30
Office Supplies,21/1/2011,Central,4,1,14
Office Supplies,21/1/2011,Central,16,2,67
Office Supplies,21/1/2011,South,2,3,7
Office Supplies,21/1/2011,South,7,7,23
Office Supplies,21/1/2011,South,11,3,23
Office Supplies,21/1/2011,South,-52,1,67
Technology,21/1/2011,South,182,7,700
Furniture,22/1/2011,South,4,3,25
Office Supplies,24/1/2011,Central,0,3,6
Office Supplies,24/1/2011,West,19,6,40
Furniture,27/1/2011,Central,40,2,142
Office Supplies,27/1/2011,Central,5,2,11
Furniture,27/1/2011,South,4,3,12
Furniture,27/1/2011,South,31,3,63
Office Supplies,27/1/2011,South,9,3,19
Office Supplies,27/1/2011,South,8,2,17
Office Supplies,27/1/2011,South,0,8,490
Technology,27/1/2011,South,53,2,188
Technology,27/1/2011,South,0,13,155
Furniture,28/1/2011,West,-17,3,333
Office Supplies,28/1/2011,West,12,4,36
Office Supplies,28/1/2011,West,14,1,57
Office Supplies,29/1/2011,East,1,1,4
Office Supplies,31/1/2011,Central,5,2,11
Office Supplies,31/1/2011,Central,7,2,230
Furniture,1/2/2011,West,3,2,291
Technology,2/2/2011,Central,206,6,469
Office Supplies,3/2/2011,West,6,5,12
Office Supplies,3/2/2011,South,-12,2,18
Technology,3/2/2011,South,14,5,181
Office Supplies,4/2/2011,West,4,3,13
Office Supplies,4/2/2011,West,27,2,84
Office Supplies,5/2/2011,West,6,2,17
Office Supplies,5/2/2011,West,29,3,83
Office Supplies,5/2/2011,West,16,4,34
Office Supplies,7/2/2011,South,7,4,15
Technology,7/2/2011,South,42,1,162
Technology,7/2/2011,South,42,5,145
Office Supplies,7/2/2011,Central,-15,2,9
Office Supplies,8/2/2011,East,10,4,65
Technology,8/2/2011,East,50,7,115
Furniture,9/2/2011,West,6,2,15
Furniture,12/2/2011,Central,15,1,61
Furniture,12/2/2011,Central,53,3,333
Furniture,12/2/2011,South,75,6,1256
Office Supplies,12/2/2011,Central,24,3,52
Office Supplies,12/2/2011,Central,4,2,10
Office Supplies,12/2/2011,Central,7,3,15
Office Supplies,12/2/2011,Central,3,2,65
Office Supplies,12/2/2011,South,8,2,17
Technology,12/2/2011,South,103,3,234
Furniture,13/2/2011,West,-24,2,130
Office Supplies,15/2/2011,West,23,2,82
Office Supplies,15/2/2011,West,5,2,239
Technology,15/2/2011,West,86,3,240
Office Supplies,15/2/2011,Central,6,3,16
Office Supplies,16/2/2011,West,7,5,21
Office Supplies,17/2/2011,Central,-14,2,8
Office Supplies,17/2/2011,Central,-2,3,1
Office Supplies,18/2/2011,Central,9,14,54
Furniture,19/2/2011,Central,-11,5,25
Office Supplies,19/2/2011,Central,-3,2,13
Office Supplies,21/2/2011,West,6,2,13
Furniture,21/2/2011,Central,7,4,20
Technology,21/2/2011,Central,22,3,62
Office Supplies,22/2/2011,Central,-14,5,9
Office Supplies,23/2/2011,West,9,3,19
Office Supplies,24/2/2011,Central,-7,3,4
Office Supplies,24/2/2011,Central,2,3,7
Office Supplies,25/2/2011,West,11,4,33
Office Supplies,25/2/2011,West,8,3,23
Office Supplies,28/2/2011,East,3,4,19
Furniture,1/3/2011,Central,0,6,362
Furniture,1/3/2011,Central,-35,6,64
Furniture,1/3/2011,Central,-172,6,634
Office Supplies,1/3/2011,Central,-4,5,19
Office Supplies,1/3/2011,Central,-23,3,130
Office Supplies,1/3/2011,Central,6,3,17
Technology,1/3/2011,East,2,3,6
Furniture,1/3/2011,West,51,2,458
Furniture,1/3/2011,Central,-43,3,377
Office Supplies,1/3/2011,Central,9,3,137
Office Supplies,2/3/2011,East,1,1,3
Technology,2/3/2011,East,32,3,151
Office Supplies,2/3/2011,East,5,2,11
Office Supplies,2/3/2011,East,17,5,36
Furniture,3/3/2011,West,-23,3,626
Office Supplies,3/3/2011,Central,-460,3,177
Office Supplies,3/3/2011,South,3,4,19
Furniture,3/3/2011,East,-200,5,302
Office Supplies,3/3/2011,East,5,3,15
Office Supplies,3/3/2011,East,-10,8,45
Office Supplies,3/3/2011,East,9,5,25
Office Supplies,3/3/2011,East,41,3,126
